,"Percentage of groups that live in social housing, rent privately, or own their home",,,,,,,,,
,,,,,,,,,,
,,Race,Owners,Social sector,Private renters,,,,,
,Race groups into nine categories,White British,67.68,16.56,15.76,,,,,
,,White Other,35.26,17.33,47.41,,,,,
,,Black,29.22,44.49,26.30,,,,,
,,Indian,75.26,4.72,20.03,,,,,
,,Pakistani or Bangladeshi,59.86,20.47,19.67,,,,,
,,Other Asian,48.30,13.84,37.87,,,,,
,,Chinese,39.28,11.22,49.50,,,,,
,,Mixed,35.24,25.40,39.36,,,,,
,,Other,29.44,24.05,46.51,,,,,
,,Total,63.61,17.37,19.01,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Nationality,Owners,Social sector,Private renters,,,,,
,Nationality of all household three categories,EU exc ROI and EFTA,24.3,13.2,62.5,,,,,
,,UK and ROI,66.5,17.4,16.1,,,,,
,,Rest of World,34.7,19.5,45.8,,,,,
,,Total,63.6,17.3,19.0,,,,,
,,,,,,,,,,
, ,,,,,,,,,
,,,,,,,,,,
,,Income bracket,Owners,Social sector,Private renters,,,,,
,BHC equivalised income quintiles (weighted by peoplegross),1st quintile (lowest),47.2,30.0,22.8,,,,,
,,2nd quintile,50.1,29.3,20.6,,,,,
,,3rd quintile,61.6,17.7,20.6,,,,,
,,4th quintile,73.4,8.2,18.4,,,,,
,,5th quintile (highest),84.9,2.3,12.8,,,,,
,,Total,63.6,17.4,19.0,,,,,
,,,,,,,,,,
, ,,,,,,,,,
,,,,,,,,,,
,,Region,Owners,Social sector,Private renters,,,,,
,Government Office Region EHS version,North East,60.8,23.0,16.2,,,,,
,,North West,64.7,18.1,17.1,,,,,
,,Yorkshire and the Humber,62.6,18.2,19.2,,,,,
,,East Midlands,66.6,15.9,17.5,,,,,
,,West Midlands,65.8,18.6,15.6,,,,,
,,East,67.1,15.7,17.3,,,,,
,,London,49.5,23.3,27.2,,,,,
,,South East,68.1,13.1,18.8,,,,,
,,South West,69.1,13.1,17.8,,,,,
,,Does not apply,.0,.0,.0,,,,,
,,No answer,.0,.0,.0,,,,,
,,Total,63.6,17.4,19.0,,,,,
,,,,,,,,,,
, ,,,,,,,,,
,,,,,,,,,,
,,Age bracket,Owners,Social sector,Private renters,,,,,
,Age of household reference person - 4 band, 16 - 29,21.0,19.0,60.0,,,,,
,, 30 - 44,54.2,17.2,28.6,,,,,
,, 45 - 64,71.8,16.9,11.3,,,,,
,, 65 or over,76.7,17.6,5.7,,,,,
,,Total,63.6,17.4,19.0,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
