,Code,Measure,Gender,Race,Race_type,Location,Location_type,Income,Income_type,Time,Time_type,Value
0,F_NATDEN,Total Pupils,Female,WHITE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,207409.0
1,F_NATDEN,Total Pupils,Female,White British,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,193909.0
2,F_NATDEN,Total Pupils,Female,White Irish,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,891.0
3,F_NATDEN,Total Pupils,Female,Traveller of Irish heritage,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,55.0
4,F_NATDEN,Total Pupils,Female,Gypsy/Roma,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,573.0
5,F_NATDEN,Total Pupils,Female,Any other white background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,11981.0
6,F_NATDEN,Total Pupils,Female,MIXED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,11333.0
7,F_NATDEN,Total Pupils,Female,White and Black Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3546.0
8,F_NATDEN,Total Pupils,Female,White and Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,1333.0
9,F_NATDEN,Total Pupils,Female,White and Asian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,2547.0
10,F_NATDEN,Total Pupils,Female,Any other mixed background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3907.0
11,F_NATDEN,Total Pupils,Female,ASIAN,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,24659.0
12,F_NATDEN,Total Pupils,Female,Indian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,6725.0
13,F_NATDEN,Total Pupils,Female,Pakistani,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,9875.0
14,F_NATDEN,Total Pupils,Female,Bangladeshi,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,4080.0
15,F_NATDEN,Total Pupils,Female,Chinese,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,993.0
16,F_NATDEN,Total Pupils,Female,Any other Asian background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3979.0
17,F_NATDEN,Total Pupils,Female,BLACK,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,14013.0
18,F_NATDEN,Total Pupils,Female,Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3668.0
19,F_NATDEN,Total Pupils,Female,Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,8680.0
20,F_NATDEN,Total Pupils,Female,Any other black background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,1665.0
21,F_NATDEN,Total Pupils,Female,Other,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3877.0
22,F_NATDEN,Total Pupils,Female,Unclassified,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,2799.0
23,F_NATDEN,Total Pupils,Female,CHINESE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,993.0
24,F_NATDEN,Total Pupils,Female,OTHER,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,3877.0
25,F_NATDEN,Total Pupils,Female,NONCLASSIFIED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,2799.0
26,F_NATDEN,Total Pupils,Female,All pupils,ALL,England,Country,All,FSM,2015-16,Academic Year,265083.0
0,F_INP8CALC,Count used to calculation progress 8,Female,WHITE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,200058.0
1,F_INP8CALC,Count used to calculation progress 8,Female,White British,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,190237.0
2,F_INP8CALC,Count used to calculation progress 8,Female,White Irish,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,829.0
3,F_INP8CALC,Count used to calculation progress 8,Female,Traveller of Irish heritage,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,53.0
4,F_INP8CALC,Count used to calculation progress 8,Female,Gypsy/Roma,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,364.0
5,F_INP8CALC,Count used to calculation progress 8,Female,Any other white background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,8575.0
6,F_INP8CALC,Count used to calculation progress 8,Female,MIXED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,10566.0
7,F_INP8CALC,Count used to calculation progress 8,Female,White and Black Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3479.0
8,F_INP8CALC,Count used to calculation progress 8,Female,White and Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,1191.0
9,F_INP8CALC,Count used to calculation progress 8,Female,White and Asian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,2350.0
10,F_INP8CALC,Count used to calculation progress 8,Female,Any other mixed background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3546.0
11,F_INP8CALC,Count used to calculation progress 8,Female,ASIAN,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,22499.0
