T1,T2,T3,QuestionId,Title,Question,Dept,T3_Id
Education,Attainment,Early years,Education01,Education01,Are children in the relevant group likely to have better or worse early years outcomes?,DfE,4
Education,Attainment,National assessments,Education02,Education02,Do children and young people in the relevant group do better or worse than others in national assessments? (Phonics; SPAG; KS1; KS2; GCSE),DfE,5
Education,Attainment,Progress,Education03,Education03,What are progress / attainment levels for the relevant group compared with others?,DfE,6
Education,Attainment,Positive outcomes,Education04,Education04,How do Positive Outcomes in the relevant group compare?,DfE,7
Education,"Admissions, choice & quality",School admissions,Education05,Education05,Are children in the relevant group more or less likely to get their first choice of school?,DfE,9
Education,"Admissions, choice & quality",School quality,Education06,Education06,Are children in the relevant group more or less likely to be at: schools in special measures/outstanding schools?,DfE,10
Education,"Admissions, choice & quality",School choice,Education07,Education07,"Are children in the relevant group more or less likely to attend: selective schools; comprehensive schools, academies?",DfE,11
Education,Higher Education & Adult Education,NEETS,Education08,Education08,Are people in the relevant group more or less likely to be NEETS?,DfE,13
Education,Higher Education & Adult Education,Participation in Adult education,Education09,Education09,How do participation rates for the relevant group by main Adult Further Education programmes compare with others?,DfE,14
Education,Higher Education & Adult Education,Higher Education applications,Education10,Education10,How do the number of applicants for Higher Education compare with others in the relevant group?,DfE,15
Education,Higher Education & Adult Education,Higher Education applications,Education11,Education11,How do the number of Higher Education applications made to each provider group (based on selectivity) compare with others in the relevant group?,DfE,15
Education,Higher Education & Adult Education,Entry to Higher Education,Education12,Education12,How do the number of acceptances to each Higher Education provider group compare with others in the relevant group?,DfE,16
Education,Higher Education & Adult Education,Entry to Higher Education,Education13,Education13,How does entry to Higher Education compare with others in the relevant group? (% representation in each provider group),DfE,16
Education,Higher Education & Adult Education,Progress in higher education,Education14,Education14,How does progress in Higher Education compare with others in the relevant group? (% not continuing in each provider group),DfE,17
Education,Higher Education & Adult Education,Higher education attainment,Education15,Education15,How do Higher Education achievements compare with others in the relevant group (% upper class degrees in each provider group),DfE,18
Education,Destinations after education,Destinations after GCSE; A-Level; Uni,Education16,Education16,How do destinations after GCSE/A-LEVEL/Uni etc compare with others in the relevant group?,DfE,20
Education,Destinations after education,Graduate employment outcomes,Education17,Education17,How do graduate employment outcomes compare with others in the relevant group? (% employed from each provider group; % employed with an upper class degree),DfE,21
