Name,Description,Level,T1,T2,T3,Subtitle
Homepage,The Race Disparity Unit homepage,T0,,,,
Education,"Admissions, grades, opportunities, exclusions and student progress",T1,Education,,,"Admissions, grades, opportunities, exclusions and student progress"
Schools and colleges,This data has been provided by the Department for Education. Read theæfurther information and guidanceæabout how this data is reported and to help you analyse it.,T2,Education,Schools and colleges,,
Early years outcomes,This data has been provided by the Department for Education. Read theæfurther information and guidanceæabout how this data is reported and to help you analyse it.,T3,Education,Schools and colleges,Early years outcomes,
Admissions,This data has been provided by the Department for Education. Read theæfurther information and guidanceæabout how this data is reported and to help you analyse it.,T3,Education,Schools and colleges,Admissions,
Results and student progress,This data has been provided by the Department for Education. Read theæfurther information and guidanceæabout how this data is reported and to help you analyse it.,T3,Education,Schools and colleges,Results and student progress,
Absence and exclusions,This data has been provided by the Department for Education. Read theæfurther information and guidanceæabout how this data is reported and to help you analyse it.,T3,Education,Schools and colleges,Absence and exclusions,
Special needs,This data has been provided by the Department for Education. Read theæfurther information and guidanceæabout how this data is reported and to help you analyse it.,T3,Education,Schools and colleges,Special needs,
Higher education and adult education,"Information provided by HESA - Higher Education Statistics Agency - who collect, process and publish data about higher education (HE) in the UK.",T2,Education,Higher education and adult education,,
Applications and admissions,"Information provided by HESA - Higher Education Statistics Agency - who collect, process and publish data about higher education (HE) in the UK.",T3,Education,Higher education and adult education,Applications and admissions,
Results and student progress,"Information provided by HESA - Higher Education Statistics Agency - who collect, process and publish data about higher education (HE) in the UK.",T3,Education,Higher education and adult education,Results and student progress,
Adults in education,"Information provided by HESA - Higher Education Statistics Agency - who collect, process and publish data about higher education (HE) in the UK.",T3,Education,Higher education and adult education,Adults in education,
Destinations after education,"Find out what students do after their GCSEs, A-levels and degrees; where do students go after leaving school, college or university",T2,Education,Destinations after education,,
After GCSEs,"Find out what students do after their GCSEs, A-levels and degrees; where do students go after leaving school, college or university",T3,Education,Destinations after education,After GCSEs,
After A-levels,"Find out what students do after their GCSEs, A-levels and degrees; where do students go after leaving school, college or university",T3,Education,Destinations after education,After A-levels,
