REGION_NAME,LA_NAME,Ethnicity,Pupil Count for Reading,Pupil Count achieving expected levels of Reading,Pupil Count for Writing,Pupil Count achieving expected levels of Writing,Pupil Count for Maths,Pupil Count achieving expected levels of Maths,"Pupil Count for Grammer, Punctuation, and Spelling","Pupil Count achieving Grammer, Punctuation, and Spelling","Pupil Count for Reading, Writing, and Maths","Pupil Count achieving Reading, Writing, and Maths",Achieve expected levels of KS2 Reading,Achieve expected levels of KS2 Writing,Achieve expected levels of KS2 Maths,Achieve expected levels of KS2 Grammar Punctuation and Spelling,Achieve expected levels of KS2 Reading Writing and Maths
,,,581171,386100,581075,432891,581152,407848,581160,424251,581058,312637,0.664348359,0.744983006,0.701792302,0.730007227,0.538047837
,,White,439487,294424,439422,323960,439474,304652,439482,314661,439410,235114,0.669926528,0.737241194,0.693219622,0.715981542,0.535067477
,,Mixed,30401,20951,30394,23207,30400,21491,30398,22939,30394,17001,0.689154962,0.763538856,0.706940789,0.754622015,0.55935382
,,Asian,61077,39139,61071,47895,61076,46110,61075,48663,61071,34283,0.640814054,0.784251118,0.754961032,0.796774458,0.561363004
,,Black,33976,21319,33970,25864,33974,23456,33975,25798,33967,17480,0.627472333,0.761377686,0.690410314,0.759323032,0.514617128
,,Chinese,2134,1621,2134,1817,2134,1967,2134,1878,2134,1537,0.759606373,0.851452671,0.921743205,0.880037488,0.720243674
North East,Gateshead,,1976,1418,1976,1617,1976,1500,1976,1533,1976,1214,0.717611336,0.818319838,0.759109312,0.775809717,0.61437247
North East,Gateshead,White,1874,1347,1874,1537,1874,1419,1874,1454,1874,1147,0.718783351,0.820170758,0.757203842,0.77588047,0.612059765
North East,Gateshead,Mixed,33,24,33,26,33,26,33,26,33,22,0.727272727,0.787878788,0.787878788,0.787878788,0.666666667
North East,Gateshead,Asian,26,17,26,19,26,19,26,20,26,16,0.653846154,0.730769231,0.730769231,0.769230769,0.615384615
North East,Gateshead,Black,25,20,25,22,25,22,25,20,25,19,0.8,0.88,0.88,0.8,0.76
North East,Gateshead,Chinese,4,x,4,x,4,x,4,x,4,x,x,x,x,x,x
North East,Newcastle upon Tyne,,2589,1753,2587,2022,2589,1869,2589,1885,2587,1462,0.677095404,0.781600309,0.721900348,0.72808034,0.565133359
North East,Newcastle upon Tyne,White,1971,1365,1970,1529,1971,1414,1971,1414,1970,1125,0.692541857,0.776142132,0.717402334,0.717402334,0.57106599
North East,Newcastle upon Tyne,Mixed,84,60,84,66,84,59,84,58,84,49,0.714285714,0.785714286,0.702380952,0.69047619,0.583333333
North East,Newcastle upon Tyne,Asian,336,218,336,281,336,255,336,273,336,192,0.648809524,0.836309524,0.758928571,0.8125,0.571428571
North East,Newcastle upon Tyne,Black,108,57,108,81,108,69,108,78,108,48,0.527777778,0.75,0.638888889,0.722222222,0.444444444
North East,Newcastle upon Tyne,Chinese,15,9,15,11,15,12,15,x,15,8,0.6,0.733333333,0.8,x,0.533333333
North East,North Tyneside,,2241,1566,2241,1706,2241,1625,2241,1651,2241,1263,0.698795181,0.761267291,0.725122713,0.736724676,0.563587684
North East,North Tyneside,White,2110,1482,2110,1611,2110,1535,2110,1555,2110,1188,0.702369668,0.763507109,0.727488152,0.736966825,0.563033175
North East,North Tyneside,Mixed,42,27,42,32,42,32,42,32,42,26,0.642857143,0.761904762,0.761904762,0.761904762,0.619047619
North East,North Tyneside,Asian,45,29,45,33,45,31,45,34,45,26,0.644444444,0.733333333,0.688888889,0.755555556,0.577777778
North East,North Tyneside,Black,14,8,14,9,14,7,14,9,14,6,0.571428571,0.642857143,0.5,0.642857143,0.428571429
North East,North Tyneside,Chinese,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1
North East,South Tyneside,,1534,1039,1534,1250,1534,1150,1534,1143,1534,881,0.677314211,0.814863103,0.749674055,0.745110821,0.574315515
North East,South Tyneside,White,1415,958,1415,1147,1415,1054,1415,1045,1415,809,0.677031802,0.810600707,0.744876325,0.738515901,0.571731449
North East,South Tyneside,Mixed,30,21,30,x,30,22,30,25,30,20,0.7,x,0.733333333,0.833333333,0.666666667
North East,South Tyneside,Asian,56,40,56,50,56,51,56,48,56,38,0.714285714,0.892857143,0.910714286,0.857142857,0.678571429
North East,South Tyneside,Black,7,x,7,7,7,x,7,7,7,4,x,1,x,1,0.571428571
North East,South Tyneside,Chinese,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
North East,Sunderland,,2977,2101,2977,2390,2977,2242,2977,2230,2977,1802,0.705744038,0.802821633,0.753107155,0.749076251,0.605307356
North East,Sunderland,White,2795,1986,2795,2240,2795,2105,2795,2084,2795,1698,0.710554562,0.801431127,0.75313059,0.745617174,0.607513417
North East,Sunderland,Mixed,32,20,32,25,32,17,32,24,32,14,0.625,0.78125,0.53125,0.75,0.4375
North East,Sunderland,Asian,107,67,107,90,107,88,107,94,107,65,0.626168224,0.841121495,0.822429907,0.878504673,0.607476636
North East,Sunderland,Black,13,10,13,x,13,x,13,9,13,10,0.769230769,x,x,0.692307692,0.769230769
North East,Sunderland,Chinese,7,3,7,x,7,7,7,x,7,3,0.428571429,x,1,x,0.428571429
North East,Hartlepool,,1094,718,1094,833,1094,784,1094,810,1094,584,0.65630713,0.76142596,0.716636197,0.740402194,0.533820841
North East,Hartlepool,White,1044,686,1044,792,1044,744,1044,770,1044,555,0.657088123,0.75862069,0.712643678,0.737547893,0.531609195
North East,Hartlepool,Mixed,11,8,11,x,11,x,11,x,11,8,0.727272727,x,x,x,0.727272727
North East,Hartlepool,Asian,26,16,26,23,26,23,26,22,26,16,0.615384615,0.884615385,0.884615385,0.846153846,0.615384615
North East,Hartlepool,Black,6,x,6,3,6,3,6,x,6,x,x,0.5,0.5,x,x
North East,Hartlepool,Chinese,6,3,6,x,6,x,6,x,6,3,0.5,x,x,x,0.5
North East,Middlesbrough,,1741,1083,1741,1199,1741,1230,1741,1216,1741,861,0.622056289,0.688684664,0.706490523,0.698449167,0.494543366
