Region_name,LA_name,Gender,Ethnicity,Pupil Count,Pupils in Progress 8,Total achieve A*-C in English and Maths,Total Ebacc Entry,Total achieve Ebacc,Attainment 8 Total,Progress 8 Total,Attainment 8,Progress 8,Ebacc,GCSE A*-C,GCSE Average
,,,White,421440,407271,265314,161334,100043,20969490,-35821.929,49.75676253,-0.084998882,0.237383732,0.629541572,4.975676253
,,,Mixed,22753,21311,14301,9658,6112,1151588,-895.254,50.61257856,-0.039346636,0.268623918,0.628532501,5.061257856
,,,Asian,50541,46394,34412,24117,16046,2671753.75,14382.211,52.8630963,0.284565224,0.317484814,0.680872955,5.28630963
,,,Black,27589,24265,16508,11987,6410,1350191,4202.717,48.93946863,0.152333068,0.232338976,0.598354417,4.893946863
,,,Chinese,1987,1606,1675,1266,1053,125135.75,1087.644,62.97722698,0.54737997,0.52994464,0.842979366,6.297722698
,,,,537808,512084,340229,214257,133360,26921860.75,-15645.162,50.05849811,-0.029090609,0.247969536,0.632621679,5.005849811
,,Female,White,206830,200058,138495,90046,59561,10763154.75,10379.01,52.03865373,0.050181357,0.287970797,0.669607891,5.203865373
,,Female,Mixed,11290,10566,7573,5367,3598,599172.25,1093.492,53.07105846,0.096854916,0.318689105,0.670770593,5.307105846
,,Female,Asian,24414,22499,17424,13275,9424,1342471.25,10352.941,54.98776317,0.424057549,0.386008028,0.713688867,5.498776317
,,Female,Black,13871,12209,9090,7024,4146,719927.25,4319.615,51.90161128,0.31141338,0.298896979,0.655324057,5.190161128
,,Female,Chinese,985,790,873,694,600,64109.5,630.043,65.0857868,0.639637563,0.609137056,0.886294416,6.50857868
,,Female,,263918,251580,177610,119628,79419,13821029.5,28133.53,52.36865049,0.106599512,0.300923014,0.672974181,5.236865049
,,Male,White,214610,207213,126819,71288,40482,10206335.25,-46200.939,47.55759401,-0.215278594,0.188630539,0.590927729,4.755759401
,,Male,Mixed,11463,10745,6728,4291,2514,552415.75,-1988.746,48.19120213,-0.173492628,0.219314316,0.586931868,4.819120213
,,Male,Asian,26127,23895,16988,10842,6622,1329282.5,4029.27,50.87773185,0.154218624,0.253454281,0.650208596,5.087773185
